latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
6.29174,124.9456,315.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),shortwave_radiation_sum (MJ/m²)
2016-06-05,29.5,22.7,7.90,17.51
2016-06-06,29.4,22.5,13.90,17.22
2016-06-07,29.8,23.1,12.10,20.15
2016-06-08,30.6,23.6,3.10,21.83
2016-06-09,29.6,23.0,2.70,17.50
2016-06-10,29.4,22.6,9.70,15.70
2016-06-11,29.8,23.4,5.40,18.23
2016-06-12,28.6,22.6,20.20,14.00
2016-06-13,28.8,22.7,12.50,16.39
2016-06-14,29.4,22.9,2.80,19.95
2016-06-15,29.3,22.6,3.20,18.54
2016-06-16,29.4,22.8,9.60,15.48
2016-06-17,28.8,23.1,5.40,16.14
2016-06-18,29.5,23.5,3.00,17.06
2016-06-19,28.7,23.2,13.80,14.40
2016-06-20,28.2,23.0,114.50,13.00
2016-06-21,26.0,22.7,16.40,8.89
2016-06-22,27.8,22.8,7.00,16.22
2016-06-23,29.0,22.9,14.70,17.14
2016-06-24,27.9,23.0,23.00,14.85
2016-06-25,26.5,22.6,9.40,9.80
2016-06-26,27.5,22.8,8.80,11.78
2016-06-27,29.6,22.7,20.90,16.99
2016-06-28,28.0,22.9,10.60,11.50
2016-06-29,28.3,23.2,13.50,15.87
2016-06-30,28.7,22.9,7.10,17.61
2016-07-01,29.7,23.4,10.60,18.17
2016-07-02,28.5,22.5,1.00,15.53
2016-07-03,29.6,22.4,7.40,22.01
2016-07-04,29.1,22.8,0.10,18.55
2016-07-05,29.3,22.9,4.70,20.38
2016-07-06,29.4,23.3,0.30,19.79
2016-07-07,28.6,22.6,0.60,15.93
2016-07-08,29.7,23.0,0.60,21.20
2016-07-09,30.0,22.1,2.60,18.90
2016-07-10,29.1,22.9,2.40,17.58
2016-07-11,28.5,22.8,13.60,15.33
2016-07-12,28.9,22.5,11.30,14.68
2016-07-13,29.0,22.5,7.80,17.85
2016-07-14,28.4,22.3,10.20,17.74
2016-07-15,29.6,22.3,8.60,20.20
2016-07-16,29.2,22.3,6.00,20.47
2016-07-17,29.3,22.7,0.80,22.18
2016-07-18,29.2,22.0,7.10,20.17
2016-07-19,29.1,23.1,12.80,17.52
2016-07-20,29.6,22.6,1.20,21.08
2016-07-21,29.9,22.8,0.00,22.24
